 date,  open, close, high, low, volume,Y
20190724,120.22,119.5,121.13,119,282785,1
20190725,119.3,121.68,121.77,116.2,439752,0
20190726,120.81,121.25,122.5,120.5,235231,0
20190729,121.5,123.75,124.18,120.93,356041,1
20190730,124.1,122.9,124.68,122.5,238944,1
20190731,122.2,120.71,123.1,120.28,242682,0
20190801,120.03,119.03,121.32,118.13,260735,0
20190802,116.31,118.12,118.65,116.02,270011,0
20190805,116.53,116.95,119.39,116.22,269946,0
20190806,116.8,121.28,121.8,114.3,533102,0
20190807,121.8,118.88,121.85,118.86,256857,1
20190808,119.49,120.52,121.61,119.26,252179,1
20190809,121.5,118.02,121.98,117.5,278185,1
20190812,120.99,122.84,123.2,119.01,395370,1
20190813,122,122.3,123,121.38,191874,0
20190814,124.2,125.85,127,123.51,416269,1
20190815,123.9,125.98,126.44,123.51,246999,0
20190816,126.5,126.3,129,125.4,312170,1
20190819,127.3,127.9,128.81,125.73,312746,1
20190820,128,129.59,130.22,127.7,306616,1
20190821,129.49,127.85,129.88,127.6,232900,0
20190822,128.34,130.5,131,127.86,302086,1
20190823,130.54,130.1,131.68,129.18,320667,1
20190826,127.9,127.42,129,126.6,283219,0
20190827,128.77,132.38,133.28,128.45,379670,1
20190828,133.2,133.92,136.55,131.7,343763,1
20190829,134.4,137,137.74,133.72,316290,1
20190830,138.05,141.5,143.1,138.03,440797,1
20190902,141.5,141.89,142.55,138.1,329900,0
20190903,142,141.5,142.79,139.4,274753,1
20190904,140.06,138.31,141,137.5,380555,0
20190905,138.28,138.9,140.24,137.8,300247,0
20190906,139.65,140.01,140.1,137.22,279327,1
20190909,140.06,139.2,140.73,138.6,224902,1
20190910,138.2,137.25,138.5,136.21,247836,0
20190911,135,129.26,135.6,128.68,702309,0
20190912,127.5,131.55,132.14,127.5,412754,0
20190916,130.47,130.92,131.8,129.1,238108,0
20190917,130.1,131.54,133.74,129.58,257861,0
20190918,132.1,135.56,135.92,132.01,363935,1
20190919,136,134.92,136.25,133.71,182044,1
20190920,135.5,136.84,137.52,135.5,257905,1
20190923,136.72,134.85,136.72,132,209573,0
20190924,134.25,136.51,137.72,134.25,268693,0
