OPEN-CLOSE,0PEN-EXCLOSE,HIGH-LOW,CLOSE-LOW,CLOSE-HIGH,Y
-0.72,0.1,2.13,0.5,-1.63,1
2.38,-0.2,5.57,5.48,-0.09,0
0.44,-0.87,2,0.75,-1.25,0
2.25,0.25,3.25,2.82,-0.43,1
-1.2,0.35,2.18,0.4,-1.78,1
-1.49,-0.7,2.82,0.43,-2.39,0
-1,-0.68,3.19,0.9,-2.29,0
1.81,-2.72,2.63,2.1,-0.53,0
0.42,-1.59,3.17,0.73,-2.44,0
4.48,-0.15,7.5,6.98,-0.52,0
-2.92,0.52,2.99,0.02,-2.97,1
1.03,0.61,2.35,1.26,-1.09,1
-3.48,0.98,4.48,0.52,-3.96,1
1.85,2.97,4.19,3.83,-0.36,1
0.3,-0.84,1.62,0.92,-0.7,0
1.65,1.9,3.49,2.34,-1.15,1
2.08,-1.95,2.93,2.47,-0.46,0
-0.2,0.52,3.6,0.9,-2.7,1
0.6,1,3.08,2.17,-0.91,1
1.59,0.1,2.52,1.89,-0.63,1
-1.64,-0.1,2.28,0.25,-2.03,0
2.16,0.49,3.14,2.64,-0.5,1
-0.44,0.04,2.5,0.92,-1.58,1
-0.48,-2.2,2.4,0.82,-1.58,0
3.61,1.35,4.83,3.93,-0.9,1
0.72,0.82,4.85,2.22,-2.63,1
2.6,0.48,4.02,3.28,-0.74,1
3.45,1.05,5.07,3.47,-1.6,1
0.39,0,4.45,3.79,-0.66,0
-0.5,0.11,3.39,2.1,-1.29,1
-1.75,-1.44,3.5,0.81,-2.69,0
0.62,-0.03,2.44,1.1,-1.34,0
0.36,0.75,2.88,2.79,-0.09,1
-0.86,0.05,2.13,0.6,-1.53,1
-0.95,-1,2.29,1.04,-1.25,0
-5.74,-2.25,6.92,0.58,-6.34,0
4.05,-1.76,4.64,4.05,-0.59,0
0.45,-1.08,2.7,1.82,-0.88,0
1.44,-0.82,4.16,1.96,-2.2,0
3.46,0.56,3.91,3.55,-0.36,1
-1.08,0.44,2.54,1.21,-1.33,1
1.34,0.58,2.02,1.34,-0.68,1
-1.87,-0.12,4.72,2.85,-1.87,0
2.26,-0.6,3.47,2.26,-1.21,0
0.54,-0.51,3.22,1.88,-1.34,0
-2.87,0.43,4.27,0.75,-3.52,1
0.69,-0.99,3.1,1.6,-1.5,0
